,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Agriculture Market Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A. Market potential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tech #,Technology,Subseg #,Subsegment,App #,Application,Technology type,Region,Units,Country,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,,Error Check
,4,Guidance and Controlled Traffic Farming (CTF) Technologies,1.1,Total,1.1.1,Total,Total,EU Europe,Units,Austria,888336,899189,910175,921296,932552,943946,955479,967153,978970,990930,1003038,1015293,1027697,1040254,1052963,1065828,1078851,1092032,1105374,1118880,1132550,,No Errors
,4,Guidance and Controlled Traffic Farming (CTF) Technologies,1.1,Total,1.1.1,Total,Total,EU Europe,Units,Belgium,177537,177991,178447,178904,179362,179821,180282,180743,181206,181670,182135,182601,183069,183538,184008,184479,184951,185425,185899,186375,186853,,No Errors
,4,Guidance and Controlled Traffic Farming (CTF) Technologies,1.1,Total,1.1.1,Total,Total,EU Europe,Units,Bulgaria,135162,142005,149194,156747,164683,173020,181779,190982,200651,210809,221482,232695,244475,256852,269856,283518,297871,312952,328795,345441,362930,,No Errors
,4,Guidance and Controlled Traffic Farming (CTF) Technologies,1.1,Total,1.1.1,Total,Total,EU Europe,Units,Croatia,259229,256575,253948,251348,248775,246228,243706,241211,238742,236297,233878,231483,229113,226767,224445,222147,219873,217622,215393,213188,211005,,No Errors
,4,Guidance and Controlled Traffic Farming (CTF) Technologies,1.1,Total,1.1.1,Total,Total,EU Europe,Units,Cyprus,41259,43306,45454,47709,50076,52560,55167,57904,60776,63791,66956,70277,73763,77422,81263,85294,89526,93967,98628,103521,108656,,No Errors
,4,Guidance and Controlled Traffic Farming (CTF) Technologies,1.1,Total,1.1.1,Total,Total,EU Europe,Units,Czechia,180587,181072,181559,182047,182537,183028,183520,184013,184508,185004,185501,186000,186500,187001,187504,188008,188514,189021,189529,190038,190549,,No Errors
,4,Guidance and Controlled Traffic Farming (CTF) Technologies,1.1,Total,1.1.1,Total,Total,EU Europe,Units,Denmark,173458,173713,173967,174222,174478,174733,174990,175246,175503,175760,176018,176276,176534,176793,177052,177312,177572,177832,178093,178354,178615,,No Errors
,4,Guidance and Controlled Traffic Farming (CTF) Technologies,1.1,Total,1.1.1,Total,Total,EU Europe,Units,Estonia,41583,41377,41171,40966,40763,40560,40359,40158,39959,39760,39563,39366,39170,38976,38782,38589,38397,38207,38017,37828,37640,,No Errors
,4,Guidance and Controlled Traffic Farming (CTF) Technologies,1.1,Total,1.1.1,Total,Total,EU Europe,Units,Finland,276276,277781,279293,280813,282342,283879,285425,286979,288541,290112,291692,293280,294876,296482,298096,299719,301351,302991,304641,306299,307967,,No Errors
,4,Guidance and Controlled Traffic Farming (CTF) Technologies,1.1,Total,1.1.1,Total,Total,EU Europe,Units,France,1944746,1947557,1950372,1953191,1956014,1958842,1961673,1964509,1967349,1970192,1973040,1975892,1978748,1981608,1984473,1987341,1990214,1993091,1995972,1998857,2001746,,No Errors
,4,Guidance and Controlled Traffic Farming (CTF) Technologies,1.1,Total,1.1.1,Total,Total,EU Europe,Units,Germany,1372042,1369234,1366431,1363634,1360843,1358057,1355277,1352503,1349735,1346972,1344215,1341463,1338717,1335977,1333242,1330513,1327790,1325072,1322360,1319653,1316952,,No Errors
,4,Guidance and Controlled Traffic Farming (CTF) Technologies,1.1,Total,1.1.1,Total,Total,EU Europe,Units,Greece,309506,301414,293533,285859,278385,271107,264019,257117,250394,243848,237473,231264,225218,219330,213595,208011,202573,197277,192119,187096,182205,,No Errors
,4,Guidance and Controlled Traffic Farming (CTF) Technologies,1.1,Total,1.1.1,Total,Total,EU Europe,Units,Hungary,686851,696085,705444,714929,724541,734282,744154,754159,764299,774575,784989,795543,806239,817079,828064,839197,850480,861915,873503,885247,897149,,No Errors
,4,Guidance and Controlled Traffic Farming (CTF) Technologies,1.1,Total,1.1.1,Total,Total,EU Europe,Units,Ireland,205667,201617,197647,193755,189940,186200,182533,178939,175416,171962,168576,165256,162002,158812,155685,152620,149614,146668,143780,140949,138174,,No Errors
,4,Guidance and Controlled Traffic Farming (CTF) Technologies,1.1,Total,1.1.1,Total,Total,EU Europe,Units,Italy,2594488,2565814,2537457,2509414,2481680,2454253,2427129,2400305,2373777,2347543,2321598,2295940,2270566,2245472,2220656,2196113,2171842,2147840,2124102,2100627,2077411,,No Errors
,4,Guidance and Controlled Traffic Farming (CTF) Technologies,1.1,Total,1.1.1,Total,Total,EU Europe,Units,Latvia,150869,151613,152361,153112,153867,154625,155388,156154,156924,157697,158475,159256,160041,160830,161623,162420,163221,164026,164835,165647,166464,,No Errors
,4,Guidance and Controlled Traffic Farming (CTF) Technologies,1.1,Total,1.1.1,Total,Total,EU Europe,Units,Lithuania,209662,209482,209302,209122,208943,208763,208584,208405,208226,208047,207868,207689,207511,207333,207155,206977,206799,206621,206444,206266,206089,,No Errors
,4,Guidance and Controlled Traffic Farming (CTF) Technologies,1.1,Total,1.1.1,Total,Total,EU Europe,Units,Luxembourg,11788,11822,11855,11889,11923,11957,11991,12025,12060,12094,12129,12163,12198,12233,12267,12302,12338,12373,12408,12443,12479,,No Errors
,4,Guidance and Controlled Traffic Farming (CTF) Technologies,1.1,Total,1.1.1,Total,Total,EU Europe,Units,Malta,20340,19713,19104,18515,17944,17390,16853,16333,15829,15341,14867,14408,13964,13533,13115,12711,12318,11938,11570,11213,10867,,No Errors
,4,Guidance and Controlled Traffic Farming (CTF) Technologies,1.1,Total,1.1.1,Total,Total,EU Europe,Units,Poland,4719937,4751618,4783512,4815621,4847944,4880485,4913244,4946223,4979424,5012847,5046495,5080368,5114469,5148799,5183359,5218151,5253177,5288438,5323935,5359671,5395647,,No Errors
,4,Guidance and Controlled Traffic Farming (CTF) Technologies,1.1,Total,1.1.1,Total,Total,EU Europe,Units,Portugal,392243,404350,416830,429695,442957,456629,470722,485251,500228,515667,531583,547990,564903,582339,600312,618840,637941,657630,677928,698851,720421,,No Errors
,4,Guidance and Controlled Traffic Farming (CTF) Technologies,1.1,Total,1.1.1,Total,Total,EU Europe,Units,Romania,703641,731527,760517,790657,821991,854567,888434,923643,960247,998302,1037865,1078996,1121757,1166213,1212430,1260480,1310433,1362366,1416357,1472488,1530843,,No Errors
,4,Guidance and Controlled Traffic Farming (CTF) Technologies,1.1,Total,1.1.1,Total,Total,EU Europe,Units,Slovakia,77397,77119,76842,76566,76290,76016,75743,75471,75199,74929,74660,74391,74124,73858,73592,73328,73064,72802,72540,72279,72019,,No Errors
